# The colors in this color dictionary are from the following sources, in
# order.  Some color names are defined multiple times, and sometimes
# with different colors.  Many colors have multiple names.

# - Netpbm originals
# - Crayola crayons, as determined by John Thomas at Tektronix
# - Hollasch at Microsoft Research
# - HTML 4.0
# - Some HTML extension that Internet Explorer understands
# - XFree86 rgb.txt ca. 2001, derived from MIT X11

# More details on the sources are above each group.

# The preferred form of names is The X Window System standard, all one
# word with the initial letter of each word capitalized.  But programs that
# look up in this dictionary should convert the target color name and each
# name in this dictionary to all lower case and remove spaces before
# comparing.
#
# Numbered colors (e.g. blue4) are deprecated, but many are here for
# compatibility with X.

# These are the 72 colors from Crayola crayons, as determined by
# John Thomas at Tektronix
# (taken from http://www.swiss.ai.mit.edu/~jaffer/Color/thomas.txt on
# 2002.09.03, with all the grayN removed).

  0   0   0 Black
255 255 255 White
255   0   0 Red
  0 255   0 Green
  0   0 255 Blue
  0 255 255 Cyan
255   0 211 Magenta
255 255   0 Yellow
255 138   0 Orange
159 211   0 GreenYellow
  0 255 159 Spring Green
  0 138 255 SkyBlue
148   0 211 Violet
255   0 148 VioletRed
105 105 105 DimGray
174 174 174 Gray
174 174 174 Grey
211 211 211 LightGrey
211 211 211 LightGray
105 105 105 DimGrey
199  21 133 MediumVioletRed
114  33 188 BlueViolet
218 107 212 Orchid
172  77 166 MediumOrchid
106  37 102 DarkOrchid
103   7  72 Maroon
 76  46  87 Plum
146  62 112 Thistle
171 197 255 LightBlue
 61  98 208 MediumBlue
100 149 237 CornflowerBlue
  0   0 142 NavyBlue
  0   0 142 Navy
 12  62  99 MidnightBlue
 72 209 204 Turquoise
 62 172 181 MediumTurquoise
 29 111 117 DarkTurquoise
 52 152 202 LightSteelBlue
 55 121 153 SteelBlue
126 125 160 CadetBlue
117 134 190 SlateBlue
 95 109 154 MediumSlateBlue
 51  62  99 DarkSlateBlue
 60  64  74 DarkSlateGrey
 60  64  74 DarkSlateGray
  0  83   0 DarkGreen
 79  79  47 DarkOliveGreen
 85 192  52 ForestGreen
107 142  35 MediumForestGreen
 46 155  28 LimeGreen
 60 141  35 MediumSpringGreen
152 255 152 PaleGreen
