#
#   Name:             MacOS_Symbol [to Unicode]
#   Unicode versions: 1.1, 2.0
#   Table version:    0.2 (from internal ufrm version <4>)
#   Date:             15 April 1995
#   Author:           Peter Edberg <edberg1@applelink.apple.com>
#
#   Copyright (c) 1995 Apple Computer, Inc.  All Rights reserved.
#
#   Apple, the Apple logo, and Macintosh are trademarks of Apple
#   Computer, Inc., registered in the United States and other countries.
#   Unicode is a trademark of Unicode Inc. For the sake of brevity,
#   throughout this document, "Macintosh" can be used to refer to
#   Macintosh computers and "Unicode" can be used to refer to the
#   Unicode standard.
#
#   Apple makes no warranty or representation, either express or
#   implied, with respect to these tables, their quality, accuracy, or
#   fitness for a particular purpose. In no event will Apple be liable
#   for direct, indirect, special, incidental, or consequential damages
#   resulting from any defect or inaccuracy in this document or the
#   accompanying tables.
#
#   These mapping tables and character lists are preliminary and
#   subject to change. Updated tables will be available from the
#   Unicode Inc. ftp site (unicode.org), the Apple Computer ftp site
#   (ftp.info.apple.com), the Apple Computer World-Wide Web pages
#   (http://www.info.apple.com), and possibly on diskette from APDA
#   (Apple's mail-order distribution service for developers).
#
#   Format:
#   -------
#
#   Three tab-separated columns;
#   '#' begins a comment which continues to the end of the line.
#     Column #1 is the MacOS Symbol code (in hex as 0xNN)
#     Column #2 is the Unicode (in hex as 0xNNNN)
#     Column #3 is the Unicode name (follows a comment sign, '#')
#
#   The entries are in MacOS Symbol code order.
#
#   Several of these mappings require the use of corporate
#   characters, including the Apple logo character. See the file
#   "MacOS-CorpCharList".
#   NOTE: The graphic image associated with the Apple logo character
#   is not authorized for use without permission of Apple, and
#   unauthorized use might constitute trademark infringement.
#
#   Notes on MacOS Symbol:
#   ----------------------
#
#   The MacOS Symbol encoding shares the script code smRoman
#   (0) with the standard MacOS Roman encoding. To determine if
#   the Symbol encoding is being used, you must check if the
#   font name is "Symbol".
#
#   The layout of the MacOS Symbol character set is identical to
#   the layout of the Adobe Symbol encoding vector, with the
#   addition of the Apple logo character at 0xF0.
#
#   This character set encodes a number of glyph fragments. Some are
#   used as extenders: 0x60 is used to extend radical signs, 0xBD and
#   0xBE are used to extend vertical and horizontal arrows, etc. In
#   addition, there are top, bottom, and center sections for
#   parentheses, brackets, integral signs, and other signs that may
#   extend vertically for 2 or more lines of normal text. In general,
#   Unicode does not encode such fragments, so corporate characters
#   are used for round-trip fidelity.
#
#   In addition, Symbol separately encodes both serif and sans-serif
#   forms for copyright, trademark, and registered signs. Unicode
#   encodes only the abstract characters, so one set of these (the
#   sans-serif forms) are mapped using corporate characters.
#
##################

0x20	0x0020	# SPACE
0x21	0x0021	# EXCLAMATION MARK
0x22	0x2200	# FOR ALL
0x23	0x0023	# NUMBER SIGN
0x24	0x2203	# THERE EXISTS
0x25	0x0025	# PERCENT SIGN
0x26	0x0026	# AMPERSAND
0x27	0x220D	# SMALL CONTAINS AS MEMBER
0x28	0x0028	# LEFT PARENTHESIS
0x29	0x0029	# RIGHT PARENTHESIS
0x2A	0x2217	# ASTERISK OPERATOR
0x2B	0x002B	# PLUS SIGN
0x2C	0x002C	# COMMA
0x2D	0x2212	# MINUS SIGN
0x2E	0x002E	# FULL STOP
0x2F	0x002F	# SOLIDUS
0x30	0x0030	# DIGIT ZERO
0x31	0x0031	# DIGIT ONE
0x32	0x0032	# DIGIT TWO
0x33	0x0033	# DIGIT THREE
0x34	0x0034	# DIGIT FOUR
0x35	0x0035	# DIGIT FIVE
0x36	0x0036	# DIGIT SIX
0x37	0x0037	# DIGIT SEVEN
0x38	0x0038	# DIGIT EIGHT
0x39	0x0039	# DIGIT NINE
0x3A	0x003A	# COLON
0x3B	0x003B	# SEMICOLON
0x3C	0x003C	# LESS-THAN SIGN
0x3D	0x003D	# EQUALS SIGN
0x3E	0x003E	# GREATER-THAN SIGN
0x3F	0x003F	# QUESTION MARK
0x40	0x2245	# APPROXIMATELY EQUAL TO
0x41	0x0391	# GREEK CAPITAL LETTER ALPHA
0x42	0x0392	# GREEK CAPITAL LETTER BETA
0x43	0x03A7	# GREEK CAPITAL LETTER CHI
0x44	0x0394	# GREEK CAPITAL LETTER DELTA
0x45	0x0395	# GREEK CAPITAL LETTER EPSILON
0x46	0x03A6	# GREEK CAPITAL LETTER PHI
0x47	0x0393	# GREEK CAPITAL LETTER GAMMA
0x48	0x0397	# GREEK CAPITAL LETTER ETA
0x49	0x0399	# GREEK CAPITAL LETTER IOTA
0x4A	0x03D1	# GREEK THETA SYMBOL
0x4B	0x039A	# GREEK CAPITAL LETTER KAPPA
0x4C	0x039B	# GREEK CAPITAL LETTER LAMBDA
0x4D	0x039C	# GREEK CAPITAL LETTER MU
0x4E	0x039D	# GREEK CAPITAL LETTER NU
0x4F	0x039F	# GREEK CAPITAL LETTER OMICRON
0x50	0x03A0	# GREEK CAPITAL LETTER PI
0x51	0x0398	# GREEK CAPITAL LETTER THETA
0x52	0x03A1	# GREEK CAPITAL LETTER RHO
0x53	0x03A3	# GREEK CAPITAL LETTER SIGMA
0x54	0x03A4	# GREEK CAPITAL LETTER TAU
0x55	0x03A5	# GREEK CAPITAL LETTER UPSILON
0x56	0x03C2	# GREEK SMALL LETTER FINAL SIGMA
